followers,following,posts,engagement_rate,bio_length,has_profile_pic,username_digits,is_private,external_url,avg_likes,avg_comments,hashtags_count,account_age,spam_words,label
687,1517,980,0.23,138,1,0,1,0,66,4,1,999,0,0
966,952,53,0.51,0,1,1,1,0,74,5,11,15,1,0
177,170,111,0.52,50,1,0,1,0,17,0,11,459,0,0
744,967,719,0.38,35,1,0,0,0,52,1,1,1153,0,0
542073,674,1164,401.54,56,1,0,0,1,32954,986,18,642,0,0
5315651,2703,497,982.92,9,1,2,0,0,552232,28148,16,1163,0,0
267,328,18,0.41,0,1,3,1,0,21,1,0,564,1,0
691,680,50,0.51,81,1,0,0,0,42,1,11,213,0,0
120,112,74,0.53,134,1,0,1,0,5,0,19,1379,0,0
105,98,8,0.53,0,1,0,0,0,11,0,13,2019,1,0
890969,11,7389,37123.71,2,1,0,0,0,93428,3597,14,570,1,0
361853,583,420,309.81,0,1,0,0,1,41462,2793,0,2367,1,0
3678,1359,433,1.35,23,1,0,0,0,145,5,3,545,0,0
92192,16,156,2711.53,138,1,0,0,1,7160,434,8,846,0,0
12397719,8,4494,688762.17,35,1,0,0,0,1381347,38406,0,1878,0,0
380510,0,751,190255.0,93,1,0,0,0,21680,1645,7,2249,0,0
132,183,4,0.36,4,1,0,1,0,10,0,7,450,1,0
162,208,27,0.39,1,1,0,1,0,15,0,13,1074,1,0
369,546,91,0.34,4,1,0,0,0,18,0,19,1990,1,0
1476,666,262,1.11,23,1,0,0,0,68,2,3,1322,0,0
1798,461,274,1.95,91,1,0,0,1,167,5,9,204,0,0
2118,1109,271,0.95,57,1,0,0,0,191,5,16,1184,0,0
812,432,713,0.94,108,1,0,0,1,79,4,10,1606,0,0
7217,761,200,4.74,30,1,0,0,1,620,41,15,1541,0,0
313,376,12,0.42,82,1,0,0,0,35,1,13,559,0,0
64,261,26,0.12,12,1,1,0,1,6,0,11,1593,0,0
1759,643,75,1.37,54,1,0,0,0,209,11,19,1382,0,0
404,283,94,0.71,0,1,0,1,0,43,3,4,1610,1,0
1843,598,63,1.54,12,1,0,0,0,67,3,18,468,0,0
320377,228,69,699.51,0,1,1,0,0,36411,2875,6,615,1,0
108,97,12,0.55,3,1,0,0,0,7,0,13,565,1,0
384,447,63,0.43,39,1,0,0,1,37,2,12,1379,0,0
60,100,19,0.3,0,1,2,0,0,2,0,15,160,1,0
802,151,100,2.64,68,1,0,0,1,72,3,13,173,0,0
51145,528,661,48.34,129,1,0,0,1,2260,88,3,1799,0,0
1582,1882,149,0.42,57,1,0,0,1,96,5,5,2276,0,0
223,266,22,0.42,64,1,0,0,0,18,1,19,1829,0,0
18842,744,400,12.65,42,1,0,0,0,1393,45,17,1995,0,0
10240,1255,149,4.08,71,1,0,0,1,628,45,14,941,0,0
539,639,122,0.42,0,1,0,0,0,30,0,5,1021,1,0
399,452,74,0.44,70,1,3,0,0,47,2,13,1235,1,0
581,568,13,0.51,74,1,0,0,0,18,1,8,250,0,0
166,163,8,0.51,8,1,0,1,0,5,0,14,1111,0,0
417,362,77,0.57,35,1,0,0,0,20,0,12,1492,0,0
266,324,5,0.41,0,1,2,1,0,22,1,19,1738,1,0
33,37,3,0.43,0,1,0,1,0,1,0,18,792,1,0
494,998,106,0.25,28,1,0,1,0,54,3,9,2284,0,0
178,245,14,0.36,18,1,0,1,0,9,0,1,303,0,0
470,288,172,0.81,28,1,0,0,0,47,3,1,1486,0,0
807,675,111,0.6,36,1,3,0,0,38,0,11,1718,1,0
162,256,38,0.32,2,1,0,0,0,6,0,10,1150,1,0
417,395,19,0.53,11,1,1,1,0,47,2,7,777,0,0
17303,360,227,23.97,70,1,0,0,1,1392,102,7,713,0,0
1439,629,221,1.14,29,1,0,0,0,69,1,18,1799,0,0
91446,526,580,86.76,24,1,0,0,1,4136,305,1,1371,0,0
824,489,40,0.84,21,1,0,0,1,92,4,9,1117,0,0
741,1440,101,0.26,81,1,0,0,0,37,0,19,1582,0,0
1267,899,157,0.7,34,1,0,1,1,103,5,17,2100,0,0
4594,1713,197,1.34,40,1,0,0,0,250,19,9,2081,0,0
1135,899,61,0.63,12,1,0,0,0,131,7,10,999,0,0
1926,1410,698,0.68,0,1,0,1,0,204,8,9,1455,1,0
1068,1925,49,0.28,59,1,0,1,0,112,8,5,1964,0,0
815,748,85,0.54,15,1,0,1,0,48,1,9,1921,0,0
565,469,77,0.6,54,1,0,0,0,59,3,11,1621,0,0
2556,1074,58,1.19,16,1,0,0,0,114,7,5,2189,0,0
1312,935,232,0.7,73,1,0,1,0,83,5,9,2237,0,0
699,599,20,0.58,24,1,0,0,0,23,1,6,1877,0,0
4328,418,98,5.16,0,1,0,0,0,173,4,14,1379,1,0
2487,999,559,1.24,26,1,0,0,1,239,11,3,72,0,0
673,438,189,0.77,0,1,0,0,0,55,2,12,1844,1,0
730,413,388,0.88,0,1,0,1,0,57,2,18,1971,1,0
59,55,28,0.53,0,1,0,1,0,5,0,4,2143,1,0
289,222,156,0.65,0,1,0,1,0,24,1,12,1864,1,0
19,20,6,0.45,28,1,0,1,0,1,0,13,1063,0,0
3551,173,69,10.2,55,1,0,0,1,204,6,18,1976,0,0
19512,591,775,16.48,140,1,0,0,1,998,79,1,1352,0,0
2756,638,205,2.16,122,1,0,0,1,314,8,6,646,0,0
5406,589,209,4.58,113,1,0,0,1,624,39,7,2373,0,0
459,390,334,0.59,38,1,0,1,0,45,2,19,870,0,0
218,75,9,1.43,0,1,0,0,0,12,0,8,245,1,0
796,1155,6,0.34,23,1,0,0,0,42,2,0,826,0,0
1113,1854,416,0.3,0,1,0,0,0,83,2,7,1428,1,0
138,208,13,0.33,89,1,2,1,0,12,0,19,489,0,0
205,164,33,0.62,30,1,4,1,0,6,0,11,1335,1,0
331,333,1,0.5,0,1,0,0,0,17,0,2,2195,1,0
748,4659,711,0.08,0,1,1,0,0,65,4,13,2190,1,0
490,1093,114,0.22,0,1,0,0,0,57,4,13,1874,1,0
456,413,16,0.55,12,1,0,1,0,45,2,13,311,0,0
971,2047,107,0.24,123,1,0,0,1,92,5,18,1131,0,0
497,438,5,0.57,0,1,2,0,0,21,1,8,1647,1,0
99,132,7,0.37,0,1,1,1,0,3,0,5,1109,1,0
193,413,21,0.23,0,1,0,1,0,21,0,18,1283,1,0
492,689,65,0.36,40,1,0,0,0,33,2,11,2460,0,0
167,164,10,0.51,0,1,3,0,0,18,1,10,1273,1,0
99,178,59,0.28,33,1,0,1,0,10,0,7,1214,0,0
916,1142,137,0.4,0,1,0,1,0,39,3,9,349,1,0
196,209,10,0.47,5,1,0,1,0,17,1,6,1753,0,0
765,424,571,0.9,0,1,0,1,0,36,1,3,1250,1,0
45,80,24,0.28,23,1,2,1,0,2,0,9,149,0,0
634,719,328,0.44,35,1,0,0,1,28,0,10,1505,0,0
1383,7500,161,0.09,150,1,0,0,1,51,3,17,389,0,0
650,703,280,0.46,26,1,0,1,0,67,2,7,1116,0,0
484,3296,92,0.07,149,1,0,1,0,43,1,19,1870,0,0
200,270,31,0.37,129,1,0,0,0,18,1,5,2280,0,0
192,65,0,1.45,0,1,0,0,0,11,0,9,477,1,0
553,610,25,0.45,18,1,0,1,0,24,1,0,85,0,0
27477,7202,921,1.91,74,1,0,0,1,3235,193,13,270,0,0
464,1039,1020,0.22,0,1,0,1,1,51,3,11,1303,1,0
1057,524,301,1.01,59,1,0,0,0,39,3,17,2319,0,0
413,138,9,1.49,148,1,0,0,0,29,2,2,889,0,0
389,806,158,0.24,0,1,0,0,1,21,1,10,892,1,0
505,503,43,0.5,15,1,3,0,0,33,0,18,1560,0,0
941,1208,24,0.39,46,1,0,1,0,80,1,17,696,0,0
2598,802,60,1.62,5,1,0,1,0,295,17,14,549,0,0
59,111,4,0.26,98,1,0,0,0,5,0,12,1531,0,0
622,475,220,0.65,55,1,0,0,0,74,5,9,485,0,0
2719,1061,1159,1.28,19,1,0,0,1,219,11,19,2364,0,0
216,305,8,0.35,71,1,4,0,0,21,1,11,500,1,0
881,375,396,1.17,133,1,2,0,0,60,4,16,1274,0,0
870,72,38,5.96,150,1,1,0,1,51,2,5,693,0,0
265,371,1,0.36,43,1,0,1,0,17,0,11,2319,0,0
1204,633,2,0.95,37,1,2,1,0,103,7,19,2362,0,0
655,1016,43,0.32,35,1,0,1,0,41,2,5,1267,0,0
1662,1065,131,0.78,87,1,0,0,0,80,5,16,490,0,0
14222,7399,7,0.96,59,1,1,0,0,1004,29,6,2123,0,0
483,1216,57,0.2,0,1,0,0,0,46,2,2,1362,1,0
1204,2928,36,0.21,0,1,0,0,0,48,2,1,2304,1,0
408,635,91,0.32,9,1,0,1,0,39,1,3,1132,0,0
303,417,8,0.36,12,1,0,1,0,11,0,8,2329,0,0
125,101,11,0.61,0,1,1,0,0,9,0,10,919,1,0
229,383,252,0.3,0,1,1,0,0,8,0,7,1335,1,0
357,489,15,0.36,95,1,2,1,1,39,2,11,616,0,0
137,96,74,0.71,0,1,0,0,0,6,0,14,992,1,0
255,535,83,0.24,46,1,0,1,0,18,1,13,1648,0,0
87,399,126,0.11,123,1,0,1,0,3,0,4,1028,0,0
326946,3,663,40868.25,117,1,0,0,1,18267,1341,8,2383,0,0
114,446,0,0.13,26,1,0,1,0,5,0,13,1900,0,0
167,387,10,0.22,0,1,0,1,0,11,0,14,215,1,0
1247,1196,8,0.52,58,1,0,1,0,56,1,3,864,0,0
585,1364,24,0.21,0,1,0,0,0,32,0,16,839,1,0
135,232,65,0.29,30,1,0,1,0,4,0,12,1619,0,0
722,261,64,1.38,62,1,0,0,1,29,1,7,2205,0,0
714,1159,664,0.31,137,1,4,0,1,58,3,18,2311,1,0
39867,4664,130,4.27,149,1,0,0,1,4447,178,1,1484,0,0
533,1060,131,0.25,14,0,0,1,0,57,2,7,1759,0,0
1158,3932,917,0.15,19,1,0,1,0,115,2,13,759,0,0
45834,280,2,81.56,131,1,0,0,1,3783,174,3,2146,0,0
876,529,142,0.83,0,1,0,0,0,102,3,5,1211,1,0
3003,455,165,3.29,5,1,1,0,0,93,4,4,537,0,0
1298,407,80,1.59,0,1,1,0,0,139,4,9,2315,1,0
3800,278,32,6.81,11,1,0,1,0,170,9,12,1752,0,0
1358,127,81,5.3,0,1,0,1,0,112,8,18,1885,1,0
6741307,111,334,30095.12,27,1,0,0,1,788283,58441,19,385,0,0
791,456,8,0.87,10,1,4,0,1,27,0,11,1259,1,0
732075,363,373,1005.6,72,1,0,0,1,55879,3138,18,1949,0,0
373,360,56,0.52,3,1,0,1,0,40,1,10,1398,1,0
162,311,7,0.26,51,1,0,1,0,17,1,13,2205,0,0
309,364,12,0.42,44,1,0,1,0,23,1,18,2172,0,0
135,176,5,0.38,0,1,0,0,0,5,0,1,1224,1,0
244,172,77,0.71,73,1,0,0,1,10,0,10,328,0,0
67,149,93,0.22,70,1,2,1,0,6,0,4,1263,0,0
984,76,192,6.39,35,1,0,0,0,61,1,15,1414,0,0
751,1223,8,0.31,13,1,0,1,0,44,1,7,1289,0,0
781,529,145,0.74,105,1,0,1,0,27,1,8,1552,0,0
1761,905,135,0.97,91,1,0,0,0,78,5,7,965,0,0
318,523,18,0.3,0,1,1,1,0,10,0,18,1377,1,0
5282,652,222,4.04,48,1,0,0,0,183,6,14,1109,0,0
5282,652,222,4.04,48,1,0,0,0,604,38,5,1817,0,0
228,238,5,0.48,126,1,0,1,1,14,0,16,1226,0,0
393,502,119,0.39,0,1,0,1,1,29,1,19,537,1,0
875,754,201,0.58,53,1,0,0,0,100,3,3,1840,0,0
173,373,12,0.23,8,1,0,1,0,16,0,0,508,0,0
3896490,351,301,5534.79,67,1,0,0,0,142178,6265,6,499,0,0
106,133,20,0.4,20,1,0,0,0,10,0,13,2266,0,0
206,32,112,3.12,26,1,1,0,1,23,0,17,539,0,0
259,1371,54,0.09,86,1,0,1,0,16,0,10,1628,0,0
1013,996,98,0.51,51,1,0,1,0,99,4,3,47,0,0
738,544,16,0.68,26,1,1,0,1,22,0,17,2456,0,0
1008,517,133,0.97,18,1,0,1,0,86,6,10,403,0,0
2441,396,142,3.07,96,1,0,0,1,291,11,6,363,0,0
416,292,63,0.71,17,1,0,0,0,12,0,6,2342,0,0
516,463,70,0.56,0,1,0,1,0,47,3,13,87,1,0
8711,345,403,12.59,62,1,0,0,1,846,22,10,2384,0,0
433,584,15,0.37,86,1,0,0,0,30,0,17,845,0,0
18515,1000,990,9.25,148,1,0,0,1,1787,131,10,942,0,0
70,67,12,0.51,1,1,0,1,0,7,0,12,2448,1,0
5863,157,26,18.55,39,1,2,0,0,510,12,16,627,0,0
1677,716,2,1.17,35,1,4,0,0,170,8,12,1975,1,0
617,272,24,1.13,103,1,0,0,0,41,1,7,2226,0,0
31182,414,411,37.57,0,1,0,0,1,2736,89,14,1988,1,0
1152,292,217,1.97,61,1,0,1,0,35,2,11,1553,0,0
8578,164,156,25.99,44,1,2,0,0,724,20,5,569,0,0
4347,748,389,2.9,0,1,0,0,0,231,8,1,2252,1,0
319,335,8,0.47,0,1,0,1,0,10,0,11,234,1,0
189,177,3,0.53,0,1,0,1,0,14,0,10,2082,1,0
743,331,22,1.12,112,1,0,1,0,82,2,0,1403,0,0
11204,124,59,44.82,123,1,2,0,0,736,27,19,303,0,0
419,271,144,0.77,24,1,0,1,0,30,1,5,1219,0,0
81,268,2,0.15,34,1,0,0,0,4,0,18,476,0,0
947,582,78,0.81,19,1,0,0,0,66,2,6,1641,0,0
206,333,28,0.31,0,1,0,0,0,20,1,0,520,1,0
541,701,111,0.39,42,1,0,0,0,57,2,9,725,0,0
392,237,6,0.82,50,1,2,0,0,30,0,3,2078,0,0
4177,3678,4,0.57,67,1,2,0,0,308,14,1,372,0,0
265,321,31,0.41,134,1,2,0,1,25,1,5,1738,0,0
272,1486,86,0.09,101,1,0,0,0,13,0,1,16,0,0
425,917,240,0.23,0,1,0,0,0,48,1,3,1180,1,0
150,178,11,0.42,0,1,0,1,0,8,0,7,250,1,0
711,673,44,0.53,17,1,0,1,0,40,0,17,2248,0,0
89,121,9,0.36,0,1,0,1,0,7,0,6,445,1,0
742,653,62,0.57,32,1,0,1,0,35,1,14,866,0,0
96,50,0,0.94,0,1,0,0,0,3,0,15,807,1,0
77,107,15,0.36,80,1,0,1,1,4,0,12,534,0,0
195,395,53,0.25,2,1,0,1,0,7,0,8,589,1,0
9,13,2,0.32,0,1,0,1,0,0,0,0,1288,1,0
10794,3164,52,1.71,146,1,0,0,1,483,10,3,502,0,0
104,15,1,3.25,0,1,2,0,0,10,0,5,900,1,0
318,569,62,0.28,0,1,0,1,1,34,2,1,738,1,0
355,137,247,1.29,0,1,2,0,0,23,0,7,2056,1,0
99,488,9,0.1,0,1,3,1,0,7,0,5,782,1,0
300,372,13,0.4,6,1,0,0,0,34,2,8,1614,0,0
139,61,204,1.12,0,1,2,0,0,8,0,2,935,1,0
13,77,0,0.08,0,1,0,1,0,1,0,9,2338,1,0
606,430,51,0.7,0,1,2,1,0,60,3,9,1484,1,0
428,333,15,0.64,64,1,0,0,0,42,1,8,2378,0,0
494,545,108,0.45,0,1,0,0,0,52,3,2,173,1,0
1261,2187,353,0.29,0,1,2,1,0,141,9,9,1109,1,0
68,87,5,0.39,0,1,0,1,0,3,0,12,1267,1,0
205558,53,560,1903.31,49,1,0,0,1,7860,572,10,258,0,0
668,609,85,0.55,23,1,0,0,0,58,1,19,1570,0,0
1456,555,95,1.31,120,1,0,0,1,66,4,11,769,0,0
410,387,14,0.53,34,1,1,0,0,20,1,19,805,0,0
298,555,52,0.27,25,1,0,1,0,11,0,5,1640,0,0
254,345,7,0.37,0,1,0,1,0,9,0,1,304,1,0
1070,1072,197,0.5,12,1,0,0,0,35,1,0,2365,0,0
1167,618,89,0.94,0,1,2,1,0,122,5,4,2004,1,0
335,300,34,0.56,9,1,0,1,0,28,1,1,609,0,0
346,426,283,0.41,1,1,1,0,0,30,0,0,378,1,0
1746,1631,65,0.53,18,1,0,1,0,110,3,11,291,0,0
268,370,126,0.36,34,1,0,1,0,11,0,9,1711,0,0
537,1002,327,0.27,23,1,0,1,0,38,1,1,620,0,0
805,488,42,0.82,19,1,0,1,0,40,2,3,360,0,0
1504,52,36,14.19,139,1,0,0,0,55,2,8,580,0,0
104,119,3,0.43,13,1,0,1,0,12,0,6,1435,0,0
380,462,53,0.41,50,1,0,0,0,38,2,19,896,0,0
257,346,7,0.37,46,1,0,1,1,21,1,9,1507,0,0
1775,7500,103,0.12,30,1,0,1,0,159,9,15,1207,0,0
1456,1200,241,0.61,26,1,3,1,0,103,2,13,1109,0,0
265,264,103,0.5,0,1,0,1,0,28,2,17,298,1,0
1051,694,93,0.76,0,1,0,1,0,106,3,12,450,1,0
77,34,1,1.1,0,1,1,0,0,9,0,18,174,1,0
220,323,16,0.34,27,0,0,1,0,19,0,16,1718,0,0
178,81,32,1.09,37,1,1,1,1,19,1,15,843,0,0
728,1213,1232,0.3,31,1,0,1,0,73,5,3,1902,0,0
668,294,75,1.13,20,1,0,1,0,78,4,6,2246,0,0
406,408,5,0.5,7,1,0,0,0,39,2,10,2074,0,0
37,22,3,0.8,0,1,0,0,0,1,0,3,2089,1,0
56,114,30,0.24,0,1,0,1,0,4,0,2,67,1,0
90,333,0,0.13,0,0,2,0,0,7,0,8,2399,1,1
60,31,0,0.94,0,0,4,0,0,2,0,11,2231,1,1
271,445,2,0.3,0,0,4,1,0,18,0,13,1105,1,1
1,80,3,0.01,0,1,0,1,0,0,0,12,1500,1,1
158,309,13,0.25,24,1,5,1,0,7,0,13,140,1,1
39,64,0,0.3,0,0,3,0,0,2,0,18,440,1,1
0,11,1,0.0,43,0,2,1,0,0,0,1,2011,0,1
0,853,0,0.0,0,0,0,1,0,0,0,13,46,1,1
0,23,10,0.0,0,1,2,1,0,0,0,5,1431,1,1
12,5,0,1.0,0,0,0,0,0,1,0,0,1315,1,1
10,18,0,0.26,0,0,3,0,0,0,0,13,2282,1,1
1,34,0,0.01,0,0,3,1,0,0,0,5,256,1,1
1,8,0,0.06,0,0,0,0,0,0,0,17,2140,1,1
0,0,0,0.0,0,0,0,1,0,0,0,6,647,1,1
31,213,0,0.07,0,0,1,1,0,1,0,5,698,1,1
5,10,0,0.23,0,0,2,1,0,0,0,17,367,1,1
18,58,5,0.15,0,0,5,1,0,2,0,10,1515,1,1
12,77,0,0.08,0,1,5,1,0,0,0,0,1622,1,1
6,37,0,0.08,0,0,5,1,0,0,0,13,1026,1,1
47,10,0,2.14,0,1,6,0,0,4,0,15,1636,1,1
33,4,0,3.3,0,0,4,0,0,1,0,15,240,1,1
4,279,141,0.01,0,0,5,1,0,0,0,8,23,1,1
5,15,6,0.16,0,0,6,1,0,0,0,14,1243,1,1
0,44,1,0.0,0,1,0,1,0,0,0,13,670,1,1
5,17,0,0.14,0,0,4,1,0,0,0,8,930,1,1
107,42,1,1.24,0,0,0,1,0,9,0,18,209,1,1
8,60,39,0.07,0,1,9,1,0,0,0,2,2341,1,1
48,6,0,3.43,0,0,0,0,0,4,0,2,1559,1,1
2,215,9,0.0,0,0,2,1,0,0,0,2,1141,1,1
51,126,0,0.2,0,0,0,1,0,2,0,10,1661,1,1
5,48,21,0.05,43,1,0,1,0,0,0,13,196,0,1
0,802,0,0.0,0,0,0,1,0,0,0,6,2061,1,1
26,46,0,0.28,0,0,6,0,0,2,0,8,1170,1,1
0,601,0,0.0,0,0,1,1,0,0,0,10,904,1,1
76,168,3,0.22,13,1,8,1,0,6,0,4,1993,1,1
165,689,0,0.12,0,0,0,1,0,11,0,10,1731,1,1
115,230,0,0.25,0,0,0,0,0,8,0,9,77,1,1
6,15,0,0.19,0,0,3,0,0,0,0,10,1353,1,1
24,49,0,0.24,0,0,4,0,0,1,0,0,312,1,1
40,236,0,0.08,0,0,3,1,0,3,0,8,2346,1,1
32,52,6,0.3,0,0,0,1,0,2,0,0,577,1,1
0,35,0,0.0,0,0,3,1,0,0,0,18,2382,1,1
21,44,0,0.23,0,0,4,0,0,1,0,4,160,1,1
79,767,1,0.05,0,1,6,1,0,3,0,15,1101,1,1
8,37,4,0.11,0,1,4,1,0,0,0,11,2378,1,1
49,79,0,0.31,0,1,4,0,0,1,0,16,379,1,1
31,91,0,0.17,0,0,1,1,0,2,0,19,1279,1,1
15,41,0,0.18,0,1,0,1,0,0,0,5,1440,1,1
4,3,0,0.5,0,1,2,0,0,0,0,13,1828,1,1
0,229,0,0.0,0,1,4,1,0,0,0,12,821,1,1
316,1165,17,0.14,0,1,3,1,0,22,1,19,2049,1,1
0,0,0,0.0,0,0,1,1,0,0,0,1,1847,1,1
3,1,1,0.75,0,0,0,0,0,0,0,0,917,1,1
2,30,0,0.03,0,0,0,0,0,0,0,16,359,1,1
221,244,7,0.45,9,1,3,1,0,24,0,15,2352,0,1
181,935,13,0.1,0,0,0,0,0,6,0,11,1477,1,1
9,167,0,0.03,0,0,0,1,0,0,0,18,1077,1,1
2,0,0,1.0,0,0,7,0,0,0,0,16,1046,1,1
25,86,0,0.14,0,1,3,1,0,1,0,1,258,1,1
26,129,5,0.1,18,1,0,0,0,2,0,14,1163,0,1
15,305,124,0.02,0,1,9,1,0,1,0,8,473,1,1
59,48,9,0.6,10,1,0,0,0,6,0,1,445,0,1
7,47,5,0.07,61,0,2,1,0,0,0,8,903,0,1
40,179,2,0.11,0,0,1,1,0,4,0,0,481,1,1
51,41,0,0.61,0,0,0,0,0,2,0,9,1070,1,1
133,750,150,0.09,0,1,0,0,0,12,0,16,977,1,1
25,39,29,0.31,0,1,0,1,0,1,0,13,150,1,1
864,3646,108,0.12,0,1,2,1,0,52,4,5,414,1,1
73,35,77,1.01,0,1,0,0,0,3,0,19,505,1,1
184,170,3,0.54,0,1,4,1,0,12,0,19,1207,1,1
161,333,7,0.24,0,1,4,1,0,19,0,15,639,1,1
42,694,3,0.03,0,1,2,1,0,3,0,5,104,1,1
279,1124,131,0.12,22,1,0,1,0,13,1,13,896,0,1
219,155,40,0.7,0,1,0,0,0,17,1,3,1560,1,1
18,106,4,0.08,0,1,2,1,0,0,0,3,718,1,1
106,171,84,0.31,0,1,4,1,0,4,0,6,549,1,1
34,108,299,0.16,2,1,5,1,0,2,0,16,1041,1,1
42,26,11,0.78,0,0,0,0,0,2,0,3,1563,1,1
1,13,0,0.04,146,1,2,1,0,0,0,15,1203,0,1
38,68,0,0.28,0,0,9,1,0,4,0,8,1771,1,1
34,44,1,0.38,6,1,6,1,0,1,0,2,1733,1,1
23,151,4,0.08,50,1,3,1,0,2,0,8,1073,0,1
23,37,0,0.3,0,1,3,1,0,1,0,9,1195,1,1
83,139,0,0.3,0,0,5,0,0,7,0,12,522,1,1
25,28,0,0.43,0,0,4,0,0,1,0,14,1148,1,1
13,38,3,0.17,39,1,0,1,0,0,0,12,662,0,1
64,60,0,0.52,0,0,2,0,0,7,0,6,590,1,1
90,69,0,0.64,0,0,4,0,0,9,0,11,1726,1,1
82,6,0,5.86,0,0,3,0,0,8,0,13,138,1,1
140,319,0,0.22,0,0,0,0,0,14,0,11,1912,1,1
0,29,0,0.0,0,0,4,1,0,0,0,18,1065,1,1
51,420,1,0.06,5,1,3,1,0,1,0,16,1588,0,1
38,87,7,0.22,91,1,1,0,0,1,0,18,2060,0,1
21,733,3,0.01,2,0,3,1,0,0,0,3,1655,1,1
5,121,0,0.02,0,1,4,1,0,0,0,16,1398,1,1
21,45,0,0.23,0,1,4,1,0,1,0,4,57,1,1
124,249,5,0.25,0,0,6,1,0,8,0,9,2068,1,1
5,56,0,0.04,0,0,2,1,0,0,0,11,1164,1,1
2,16,1,0.06,37,1,4,1,0,0,0,2,946,1,1
42,46,0,0.45,0,0,6,0,0,4,0,8,1513,1,1
48,45,12,0.52,0,1,3,1,0,2,0,15,338,1,1
32,25,0,0.62,0,0,3,0,0,1,0,9,1608,1,1
0,71,0,0.0,0,0,0,1,0,0,0,6,1670,1,1
0,0,0,0.0,0,0,2,0,0,0,0,10,1892,1,1
10,104,1,0.05,0,1,1,1,0,0,0,8,1713,1,1
19,31,92,0.3,0,1,4,1,0,1,0,1,1251,1,1
138,99,0,0.69,0,0,3,1,0,14,0,4,1785,1,1
11,157,0,0.03,0,0,2,1,0,1,0,2,2465,1,1
1,64,0,0.01,0,0,0,1,0,0,0,13,2145,1,1
39,40,0,0.48,0,0,4,0,0,1,0,19,486,1,1
446,1762,21,0.13,148,1,0,0,0,40,2,5,486,0,1
9,82,7,0.05,0,1,6,1,0,0,0,17,1064,1,1
589,2980,9,0.1,0,0,0,0,0,50,3,9,2298,1,1
27,63,0,0.21,0,0,1,0,0,1,0,16,2289,1,1
143,500,14,0.14,0,1,0,0,0,11,0,10,347,1,1
0,177,0,0.0,0,0,0,1,0,0,0,1,645,1,1
0,130,0,0.0,0,0,0,1,0,0,0,5,2215,1,1
124,135,3,0.46,0,0,2,0,0,5,0,17,2364,1,1
12,192,0,0.03,0,1,1,1,0,0,0,8,1235,1,1
16,36,0,0.22,0,0,4,0,0,1,0,14,728,1,1
1,2,1,0.17,0,0,2,0,0,0,0,2,951,1,1
120,181,1,0.33,0,0,4,0,0,10,0,5,1184,1,1
0,71,0,0.0,0,0,0,1,0,0,0,15,46,1,1
26,8,1,1.44,0,0,0,0,0,1,0,8,1400,1,1
57,167,0,0.17,0,1,1,0,0,6,0,17,1708,1,1
13,22,1,0.28,0,0,2,0,0,0,0,16,177,1,1
1031,208,28,2.47,149,1,0,0,0,35,1,1,1773,0,1
42,146,0,0.14,0,1,2,0,0,3,0,6,621,1,1
70,64,25,0.54,0,1,3,0,0,6,0,4,1244,1,1
0,8,0,0.0,0,1,2,1,0,0,0,18,693,1,1
